Race,Aloha-Huber Park School,Arco Iris Spanish Immersion School,Barnes Elementary School,Beaver Acres Elementary School,Bethany Elementary School,Bonny Slope Elementary School,Cedar Mill Elementary School,Chehalem Elementary School,Cooper Mountain Elementary School,Elmonica Elementary School,Errol Hassell Elementary School,Findley Elementary,Fir Grove Elementary School,FLEX Online School,Greenway Elementary School,Hazeldale Elementary School,Hiteon Elementary School,Hope Chinese Charter School,Jacob Wismer Elementary School,Kinnaman Elementary School,McKay Elementary School,McKinley Elementary School,Montclair Elementary School,Nancy Ryles Elementary School,Oak Hills Elementary School,Raleigh Hills Elementary School,Raleigh Park Elementary School,Ridgewood Elementary School,Rock Creek Elementary School,Sato Elementary School,Scholls Heights Elementary School,Sexton Mountain Elementary School,Springville K-8 School,Terra Linda Elementary School,Vose Elementary School,West Tualatin View Elementary School,William Walker Elementary School,Butler Creek Elementary School,Meadows Elementary,Parklane Elementary School,Patrick Lynch Elementary,Pleasant Valley Elementary School,Powell Butte Elementary School,Arthur Academy,Cherry Park Elementary School,Earl Boyles Elementary,Gilbert Heights Elementary School,Gilbert Park Elementary School,Lincoln Park Elementary School,Menlo Park Elementary School,Mill Park Elementary School,Ventura Park Elementary School,West Powellhurst Elementary School,Cornelius Elementary School,Dilley Elementary School,Echo Shaw Elementary School,Fern Hill Elementary School,Forest Grove Community School,Harvey Clarke Elementary School,Joseph Gale Elementary School,John Wetten Elementary School,Deep Creek – Damascus K-8 School,East Gresham Elementary School,East Orient Elementary School,Gresham Arthur Academy,Hall Elementary School,Highland Elementary School,Hogan Cedars Elementary School,Hollydale Elementary School,Kelly Creek Elementary School,Lewis and Clark Montessori Charter School,Metro East Web Academy,North Gresham Elementary School,Powell Valley Elementary School,Brookwood Elementary School,Butternut Creek Elementary School,City View Charter School,Eastwood Elementary School,Farmington View Elementary School,Free Orchards Elementary School,Groner K-8,Hillsboro Online Academy,Imlay Elementary School,Indian Hills Elementary School,Jackson Elementary School,Ladd Acres Elementary School,Lenox Elementary School,Lincoln Street Elementary School,Minter Bridge Elementary School,Mooberry Elementary School,North Plains Elementary School,Orenco Elementary School,Paul L Patterson Elementary School,Quatama Elementary School,Reedville Elementary School,Rosedale Elementary School,Tobias Elementary School,W L Henry Elementary School,W Verne McKinney Elementary School,West Union Elementary School,Witch Hazel Elementary School,Forest Hills Elementary School,Hallinan Elementary School,Lake Grove Elementary School,Oak Creek Elementary School,River Grove Elementary School,Westridge Elementary School,Ardenwald Elementary School,Beatrice Morrow Cannady Elementary,Bilquist Elementary School,Cascade Heights Public Charter School,Clackamas Web Academy,El Puente,Happy Valley Elementary School,Lewelling Elementary School,Linwood Elementary School,Mount Scott Elementary School,Oak Grove Elementary,Oregon Trail Elementary School,Riverside Elementary School,Scouters Mountain Elementary,Sojourner School,Spring Mountain Elementary School,Sunnyside Elementary School,Verne A Duncan Elementary School,View Acres Elementary School,Whitcomb Elementary School,Alliance Charter Academy,Beavercreek Elementary School,Candy Lane Elementary School,Gaffney Lane Elementary School,Holcomb Elementary School,John McLoughlin Elementary School,Redland Elementary School,Springwater Environmental Sciences School,Prescott Elementary School,Russell Elementary,Sacramento Elementary School,Shaver Elementary School,Abernethy Elementary School,Ainsworth Elementary School,Alameda Elementary School,Arleta Elementary School,Astor Elementary School,Atkinson Elementary School,Beach Elementary School,Beverly Cleary School - Fernwood Campus,Beverly Cleary School - Hollyrood Campus,Boise-Eliot Elementary School,Bridger Elementary School,Bridlemile Elementary School,Buckman Elementary School,Capitol Hill Elementary School,Cesar Chavez K-8 School,Chapman Elementary School,Chief Joseph Elementary School,Creston Elementary School,Duniway Elementary School,Emerson School,Faubion Elementary School,Forest Park Elementary School,Glencoe Elementary School,Grout Elementary School,Harrison Park School,Hayhurst Elementary School,Irvington Elementary School,James John Elementary School,Kairos PDX,Kelly Elementary School,Laurelhurst Elementary School,Le Monde French Immersion Public Charter School,Lee Elementary School,Lent Elementary School,Lewis Elementary School,Llewellyn Elementary School,Maplewood Elementary School,Markham Elementary School,Martin Luther King Jr. School,Marysville Elementary School,Peninsula Elementary School,Portland Arthur Academy Charter School,Portland Village School,Richmond Elementary School,Rieke Elementary School,Rigler Elementary School,Rosa Parks Elementary School,Rose City Park,Sabin Elementary School,Scott Elementary School,Sitton Elementary School,Skyline Elementary School,Stephenson Elementary School,Sunnyside Environmental School,Vernon Elementary School,Vestal Elementary School,Whitman Elementary School,Winterhaven School,Woodlawn Elementary School,Woodmere Elementary School,Woodstock Elementary School,Alder Elementary School,Davis Elementary School,Fairview Elementary School,Glenfair Elementary School,Hartley Elementary School,Margaret Scott Elementary School,Multnomah Learning Academy,Reynolds Arthur Academy,Rockwood Preparatory Academy,Salish Ponds Elementary School,Sweetbriar Elementary School,Troutdale Elementary School,Wilkes Elementary School,Woodland Elementary,Riverdale Grade School,Archer Glen Elementary School,Edy Ridge Elementary School,J Clyde Hopkins Elementary School,Middleton Elementary School,Sherwood Charter School,Alberta Rider Elementary School,Bridgeport Elementary School,Charles F Tigard Elementary School,Deer Creek Elementary School,Durham Elementary School,Edward Byrom Elementary School,James Templeton Elementary School,Mary Woodward Elementary School,Metzger Elementary School,Multi-sensory Instruction Teaching Children Hands-On (MITCH),Tualatin Elementary School,Boeckman Creek Primary School,Bolton Primary School,Boones Ferry Primary School,Cedaroak Park Primary School,Lowrie Primary School,Stafford Primary School,Sunset Primary School,Trillium Creek Primary School,Willamette Primary School
AmericanIndian,4,3,0,2,0,2,0,1,4,2,1,2,3,4,1,2,1,0,6,3,0,3,2,0,3,1,2,1,2,9,2,1,8,2,1,1,1,3,2,2,1,1,4,1,3,2,0,6,1,3,4,2,1,1,2,3,0,1,2,2,3,5,5,3,0,6,2,2,8,0,0,6,5,2,3,1,1,0,0,1,1,3,4,0,1,3,2,3,1,2,2,2,2,3,0,5,5,2,1,2,1,0,0,0,1,0,0,2,1,0,1,0,0,0,0,2,0,1,1,0,1,0,4,0,1,0,0,6,3,1,1,1,3,2,0,1,0,1,1,0,3,2,2,6,1,0,3,3,3,3,1,4,0,1,5,2,4,0,0,6,0,0,3,5,2,0,1,1,1,1,2,0,0,0,1,0,3,1,5,3,1,0,0,1,0,1,2,3,6,3,1,0,0,7,1,4,0,0,1,0,4,3,5,6,1,3,9,4,4,0,1,2,1,3,0,0,0,0,2,0,1,0,1,0,4,1,1,0,1,1,2,2,0,1,0,0,0,0,0,1
Asian,64,9,11,107,96,205,66,17,60,132,37,281,21,54,9,42,36,154,362,38,12,66,6,59,77,11,17,21,85,438,170,62,438,31,22,35,24,92,35,40,50,31,61,28,64,47,74,56,83,37,75,47,50,3,5,0,5,0,9,1,6,7,7,13,5,13,13,24,18,18,3,16,27,13,15,21,21,4,2,14,0,16,49,55,29,57,34,0,21,4,13,65,20,98,8,81,67,6,12,21,19,26,19,67,87,37,20,4,148,12,23,15,5,98,6,10,78,2,108,2,177,2,47,71,22,4,16,3,6,2,2,6,11,8,3,12,30,19,16,9,34,8,19,5,3,2,13,13,7,7,20,4,8,6,13,4,11,15,5,13,80,7,38,133,12,2,3,2,30,16,5,45,20,10,6,5,19,18,26,7,39,5,50,3,2,1,114,3,15,7,8,9,4,6,24,15,12,4,27,115,44,25,5,43,18,37,30,14,14,15,13,14,48,11,17,12,42,13,18,7,60,12,14,36,30,13,7,43,13,14,7,21,10,11,7,18,10,15,31,7
PacificInslander,8,0,5,18,3,1,1,5,3,3,0,1,5,12,3,10,10,0,0,3,6,12,11,10,5,2,2,1,0,1,4,1,4,0,5,1,9,6,11,16,10,8,12,6,7,10,12,9,11,12,23,14,15,0,0,1,1,2,1,1,6,0,8,6,1,12,3,5,7,7,0,7,26,6,2,3,1,2,0,4,0,3,5,12,0,5,1,0,0,1,1,3,4,5,1,3,5,1,0,1,0,0,0,1,0,2,0,1,1,3,1,4,0,1,1,16,5,1,0,7,2,0,1,2,0,1,3,1,0,0,1,6,1,2,0,14,4,5,21,0,0,0,3,0,0,0,1,1,0,5,3,0,0,8,1,4,2,0,0,11,0,0,7,35,0,0,4,1,12,0,0,8,1,0,0,0,7,5,10,0,0,2,0,0,1,6,8,0,7,2,1,1,1,2,4,4,0,3,3,2,17,12,9,23,6,19,2,1,6,17,2,4,31,2,0,5,3,4,2,0,7,17,21,18,10,15,23,0,17,0,10,2,2,7,2,1,0,0,2,0
Black,56,5,18,51,8,7,7,8,8,10,18,11,7,15,16,20,12,7,13,26,16,67,4,16,12,7,18,14,2,22,22,19,40,6,16,7,9,31,16,51,38,15,44,19,50,22,56,50,54,44,68,71,47,2,1,0,5,1,7,3,7,0,22,7,4,31,22,15,28,16,5,28,42,9,4,6,10,8,3,12,2,7,13,13,5,2,25,0,7,3,3,18,11,22,3,23,33,1,10,20,27,4,1,5,6,2,0,7,20,14,4,9,1,13,8,9,13,9,13,1,12,0,12,9,4,6,24,3,2,2,9,6,2,4,0,50,45,20,76,2,6,6,11,16,4,37,12,12,137,16,11,13,11,68,21,15,7,3,2,161,7,19,13,137,26,16,30,124,33,10,11,31,24,2,2,4,66,78,17,24,18,7,6,12,5,67,15,44,52,40,0,5,10,80,26,11,6,73,24,3,54,45,23,68,42,76,34,4,44,26,11,18,76,13,4,3,5,0,0,8,25,3,12,17,22,3,11,13,9,4,2,4,1,6,1,6,0,4,5,5
Latino,525,184,320,274,55,63,45,140,39,145,99,34,110,170,106,147,73,22,45,198,83,256,31,78,84,93,90,53,74,73,73,55,76,54,456,26,316,93,119,150,114,55,121,20,115,112,123,90,150,118,157,91,95,323,21,356,166,35,125,213,106,49,217,50,37,168,218,185,158,80,47,128,203,111,127,126,37,272,61,209,49,90,111,93,74,119,90,276,188,250,31,139,87,127,175,153,107,266,242,105,282,23,21,35,45,35,20,67,51,57,10,45,212,47,92,44,53,61,56,103,60,16,61,74,85,52,173,28,54,191,87,51,31,62,18,75,105,67,78,26,113,39,28,63,106,80,42,42,55,98,39,52,27,270,61,36,36,25,8,171,16,40,39,90,41,27,143,26,74,42,17,57,121,30,49,36,46,59,62,38,15,53,28,29,139,76,35,28,167,141,26,22,51,76,36,45,20,55,55,39,205,188,115,167,174,100,146,42,193,173,76,106,183,205,26,31,85,86,30,16,100,212,142,163,154,91,170,66,178,30,141,110,20,118,34,131,10,42,30,41
White,193,155,105,240,222,333,199,173,255,95,161,156,178,234,116,173,296,64,129,183,122,190,193,288,278,149,153,257,220,194,308,265,162,163,162,201,148,246,98,142,107,156,105,70,170,125,119,216,139,129,97,114,127,40,158,14,80,142,254,149,394,356,229,254,107,134,124,202,197,200,254,388,184,175,159,142,213,83,165,115,97,194,240,166,235,187,182,75,104,103,120,179,235,197,18,134,154,37,120,130,83,322,276,249,237,223,380,270,228,242,165,404,176,276,166,121,193,175,222,201,217,128,203,224,244,288,153,298,367,163,320,406,507,382,163,83,118,73,72,283,353,420,159,220,209,196,462,462,73,168,325,271,247,90,191,171,179,345,75,160,182,281,182,101,414,152,125,52,180,525,303,107,64,241,309,229,238,93,128,116,64,312,237,233,68,18,242,206,163,104,151,234,334,309,97,48,234,103,104,240,41,74,115,76,45,54,297,97,67,68,126,193,73,136,315,267,449,333,313,166,249,195,241,270,288,258,248,302,263,160,207,288,163,304,265,267,309,253,344,329
MultiRacial,37,37,19,63,45,75,38,39,44,26,39,42,38,66,26,35,60,119,36,38,21,56,36,57,37,44,26,47,49,39,58,64,36,21,42,34,27,41,30,36,16,33,38,14,50,45,36,35,27,40,22,37,28,2,19,3,7,20,27,6,52,33,63,33,13,40,36,34,44,46,20,55,72,40,23,35,30,9,14,22,5,31,46,50,45,38,33,12,30,18,11,70,45,50,8,39,40,5,23,33,21,44,45,59,69,37,50,56,56,31,20,36,24,54,25,31,49,34,63,17,77,13,41,47,51,27,34,29,33,29,25,52,60,36,14,31,25,32,28,33,54,63,34,58,14,31,71,71,51,32,59,51,40,23,58,29,21,34,16,88,43,47,34,72,80,31,31,39,25,80,43,26,21,37,46,36,47,48,38,37,13,31,218,22,8,28,51,28,40,48,28,36,65,75,42,26,41,49,20,92,23,26,27,46,39,33,49,11,23,15,23,24,31,31,48,13,68,33,34,17,62,32,44,61,57,37,54,57,37,35,27,45,21,53,34,55,22,53,47,43
