School_Name,ODE_Institution_ID,Charter,Site_Address_Line1,Site_City,Site_State,Site_Zipcode,District_Name,District_Institution_ID,County_Name,County_FIPS_Code,Longitude,Latitude,Total_Enrollment,Total_AmIndian,Percent_AmIndian,Total_Asian,Percent_Asian,Total_HawaiiPI,Percent_HawaiiPI,Total_Black,Percent_Black,Total_Latino,Percent_Latino,Total_White,Percent_White,Total_MultiRacial,Percent_MultiRacial,Total_Blk_Latino,Perc_Blk_Lat,Seg,pop_proport,Seg_proport,SCI
Montclair Elementary School,1170,NonCharter,7250 SW Vermont,Portland,OR,97223,Beaverton SD 48J,2243,WASHINGTON,67,-122.7520114,45.47609252,283.00,2.00,0.01,6.00,0.02,11.00,0.04,4.00,0.01,31.00,0.11,193.00,0.68,36.00,0.12721,35.00,0.12,0.007,0.590447728,0.016954308,0.010010633
Nancy Ryles Elementary School,1303,NonCharter,10250 SW Cormorant Dr,Beaverton,OR,97007,Beaverton SD 48J,2243,WASHINGTON,67,-122.8433931,45.44515491,508.00,0.00,0.00,59.00,0.12,10.00,0.02,16.00,0.03,78.00,0.15,288.00,0.57,57.00,0.1122,94.00,0.19,0.008,1.059884967,0.02005735,0.021258484
Oak Hills Elementary School,1171,NonCharter,2625 NW 153rd Ave,Beaverton,OR,97006,Beaverton SD 48J,2243,WASHINGTON,67,-122.8359346,45.5388029,496.00,3.00,0.01,77.00,0.16,5.00,0.01,12.00,0.02,84.00,0.17,278.00,0.56,37.00,0.0746,96.00,0.19,0.007,1.034848314,0.018178696,0.018812192
Raleigh Hills Elementary School,1172,NonCharter,5225 SW Scholls Ferry Rd,Portland,OR,97225,Beaverton SD 48J,2243,WASHINGTON,67,-122.7583927,45.48239756,307.00,1.00,0.00,11.00,0.04,2.00,0.01,7.00,0.02,93.00,0.30,149.00,0.49,44.00,0.14332,100.00,0.33,0.001,0.640521033,0.002256251,0.001445176
Raleigh Park Elementary School,1173,NonCharter,3670 SW 78th Ave,Portland,OR,97225,Beaverton SD 48J,2243,WASHINGTON,67,-122.7563734,45.4934383,308.00,2.00,0.01,17.00,0.06,2.00,0.01,18.00,0.06,90.00,0.29,153.00,0.50,26.00,0.08442,108.00,0.35,0.002,0.642607421,0.004818116,0.003096157
Ridgewood Elementary School,1174,NonCharter,10100 SW Inglewood St,Portland,OR,97225,Beaverton SD 48J,2243,WASHINGTON,67,-122.7805992,45.50227943,394.00,1.00,0.00,21.00,0.05,1.00,0.00,14.00,0.04,53.00,0.13,257.00,0.65,47.00,0.11929,67.00,0.17,0.007,0.822036766,0.017522045,0.014403765
Rock Creek Elementary School,1175,NonCharter,4125 NW 185th Ave,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.8686367,45.54917251,432.00,2.00,0.00,85.00,0.20,0.00,0.00,2.00,0.00,74.00,0.17,220.00,0.51,49.00,0.11343,76.00,0.18,0.007,0.901319499,0.018367147,0.016554667
Sato Elementary School,5382,NonCharter,7775 NW Kaiser Rd.,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.8377548,45.57554175,776.00,9.00,0.01,438.00,0.56,1.00,0.00,22.00,0.03,73.00,0.09,194.00,0.25,39.00,0.05026,95.00,0.12,0.019,1.619036878,0.046813009,0.075791988
Scholls Heights Elementary School,2781,NonCharter,16400 SW Loon Dr,Beaverton,OR,97007,Beaverton SD 48J,2243,WASHINGTON,67,-122.8451255,45.43072386,637.00,2.00,0.00,170.00,0.27,4.00,0.01,22.00,0.03,73.00,0.11,308.00,0.48,58.00,0.09105,95.00,0.15,0.013,1.329028984,0.032763363,0.043543459
Sexton Mountain Elementary School,1270,NonCharter,15645 SW Sexton Mtn Dr,Beaverton,OR,97007,Beaverton SD 48J,2243,WASHINGTON,67,-122.8375432,45.45929229,467.00,1.00,0.00,62.00,0.13,1.00,0.00,19.00,0.04,55.00,0.12,265.00,0.57,64.00,0.13704,74.00,0.16,0.009,0.97434307,0.022570563,0.021991471
Springville K-8 School,4712,NonCharter,6655 NW Joss Ave,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.8506701,45.56867703,764.00,8.00,0.01,438.00,0.57,4.00,0.01,40.00,0.05,76.00,0.10,162.00,0.21,36.00,0.04712,116.00,0.15,0.015,1.594000226,0.038609869,0.06154414
Terra Linda Elementary School,1176,NonCharter,1998 NW 143rd Ave,Portland,OR,97229,Beaverton SD 48J,2243,WASHINGTON,67,-122.8203243,45.53322141,277.00,2.00,0.01,31.00,0.11,0.00,0.00,6.00,0.02,54.00,0.19,163.00,0.59,21.00,0.07581,60.00,0.22,0.003,0.577929401,0.008026157,0.004638552
Vose Elementary School,1177,NonCharter,11350 SW Denney Rd,Beaverton,OR,97008,Beaverton SD 48J,2243,WASHINGTON,67,-122.7938018,45.46866004,704.00,1.00,0.00,22.00,0.03,5.00,0.01,16.00,0.02,456.00,0.65,162.00,0.23,42.00,0.05966,472.00,0.67,0.034,1.468816962,0.085955609,0.126253057
West Tualatin View Elementary School,1178,NonCharter,8800 SW Leahy Rd,Portland,OR,97225,Beaverton SD 48J,2243,WASHINGTON,67,-122.7667617,45.51528476,305.00,1.00,0.00,35.00,0.11,1.00,0.00,7.00,0.02,26.00,0.09,201.00,0.66,34.00,0.11148,33.00,0.11,0.008,0.636348258,0.019843728,0.012627522
William Walker Elementary School,1179,NonCharter,11940 SW Lynnfield Ln,Portland,OR,97225,Beaverton SD 48J,2243,WASHINGTON,67,-122.7998969,45.50193741,534.00,1.00,0.00,24.00,0.04,9.00,0.02,9.00,0.02,316.00,0.59,148.00,0.28,27.00,0.05056,325.00,0.61,0.022,1.114131048,0.054207086,0.060393797
Butler Creek Elementary School,3649,NonCharter,2789 SW Butler Rd,Gresham,OR,97080,Centennial SD 28J,2185,MULTNOMAH,51,-122.4586911,45.47283332,512.00,3.00,0.01,92.00,0.18,6.00,0.01,31.00,0.06,93.00,0.18,246.00,0.48,41.00,0.08008,124.00,0.24,0.062,1.347368421,0.308556524,0.415739316
Meadows Elementary,959,NonCharter,18009 SE Brooklyn St,Portland,OR,97236,Centennial SD 28J,2185,MULTNOMAH,51,-122.4775487,45.50150489,311.00,2.00,0.01,35.00,0.11,11.00,0.04,16.00,0.05,119.00,0.38,98.00,0.32,30.00,0.09646,135.00,0.43,0.018,0.818421053,0.090726787,0.074252713
Parklane Elementary School,963,NonCharter,15811 SE Main St,Portland,OR,97233,Centennial SD 28J,2185,MULTNOMAH,51,-122.5002849,45.51437735,437.00,2.00,0.00,40.00,0.09,16.00,0.04,51.00,0.12,150.00,0.34,142.00,0.32,36.00,0.08238,201.00,0.46,0.036,1.15,0.180175963,0.207202357
Patrick Lynch Elementary,964,NonCharter,1546 SE 169th Pl,Portland,OR,97233,Centennial SD 28J,2185,MULTNOMAH,51,-122.4883045,45.51150697,336.00,1.00,0.00,50.00,0.15,10.00,0.03,38.00,0.11,114.00,0.34,107.00,0.32,16.00,0.04762,152.00,0.45,0.026,0.884210526,0.126673671,0.112006194
Pleasant Valley Elementary School,966,NonCharter,17625 SE Foster Rd,Gresham,OR,97080,Centennial SD 28J,2185,MULTNOMAH,51,-122.4802123,45.4645211,299.00,1.00,0.00,31.00,0.10,8.00,0.03,15.00,0.05,55.00,0.18,156.00,0.52,33.00,0.11037,70.00,0.23,0.039,0.786842105,0.191443476,0.150635788
Powell Butte Elementary School,965,NonCharter,3615 SE 174th St,Portland,OR,97236,Centennial SD 28J,2185,MULTNOMAH,51,-122.4855879,45.49665898,385.00,4.00,0.01,61.00,0.16,12.00,0.03,44.00,0.11,121.00,0.31,105.00,0.27,38.00,0.0987,165.00,0.43,0.021,1.013157895,0.102423578,0.103771257
Arthur Academy,3580,Charter,13717 SE Division St,Portland,OR,97236,David Douglas SD 40,2187,MULTNOMAH,51,-122.5223106,45.50440301,158.00,1.00,0.01,28.00,0.18,6.00,0.04,19.00,0.12,20.00,0.13,70.00,0.44,14.00,0.08861,39.00,0.25,0.013,0.405648267,0.120725301,0.048972009
Cherry Park Elementary School,972,NonCharter,1930 SE 104th Ave,Portland,OR,97216,David Douglas SD 40,2187,MULTNOMAH,51,-122.5557244,45.50859687,459.00,3.00,0.01,64.00,0.14,7.00,0.02,50.00,0.11,115.00,0.25,170.00,0.37,50.00,0.10893,165.00,0.36,0.010,1.17843389,0.090168452,0.10625756
Earl Boyles Elementary,3525,NonCharter,10822 SE Bush,Portland,OR,97266,David Douglas SD 40,2187,MULTNOMAH,51,-122.5514212,45.49423236,363.00,2.00,0.01,47.00,0.13,10.00,0.03,22.00,0.06,112.00,0.31,125.00,0.34,45.00,0.12397,134.00,0.37,0.006,0.931964056,0.053622626,0.04997436
Gilbert Heights Elementary School,973,NonCharter,12839 SE Holgate Blvd,Portland,OR,97236,David Douglas SD 40,2187,MULTNOMAH,51,-122.531286,45.49061978,420.00,0.00,0.00,74.00,0.18,12.00,0.03,56.00,0.13,123.00,0.29,119.00,0.28,36.00,0.08571,179.00,0.43,0.006,1.07830552,0.058693008,0.063288995
Gilbert Park Elementary School,974,NonCharter,13132 SE Ramona St,Portland,OR,97236,David Douglas SD 40,2187,MULTNOMAH,51,-122.5281407,45.47954942,462.00,6.00,0.01,56.00,0.12,9.00,0.02,50.00,0.11,90.00,0.19,216.00,0.47,35.00,0.07576,140.00,0.30,0.024,1.186136072,0.222175646,0.263530548
Lincoln Park Elementary School,975,NonCharter,13200 SE Lincoln St,Portland,OR,97233,David Douglas SD 40,2187,MULTNOMAH,51,-122.5258279,45.50837155,465.00,1.00,0.00,83.00,0.18,11.00,0.02,54.00,0.12,150.00,0.32,139.00,0.30,27.00,0.05806,204.00,0.44,0.010,1.193838254,0.094317653,0.112600022
Menlo Park Elementary School,976,NonCharter,12900 NE Glisan St,Portland,OR,97230,David Douglas SD 40,2187,MULTNOMAH,51,-122.5302495,45.52534382,383.00,3.00,0.01,37.00,0.10,12.00,0.03,44.00,0.11,118.00,0.31,129.00,0.34,40.00,0.10444,162.00,0.42,0.005,0.983311938,0.047319257,0.04652959
Mill Park Elementary School,977,NonCharter,1900 SE 117th Ave,Portland,OR,97216,David Douglas SD 40,2187,MULTNOMAH,51,-122.5417466,45.50980354,446.00,4.00,0.01,75.00,0.17,23.00,0.05,68.00,0.15,157.00,0.35,97.00,0.22,22.00,0.04933,225.00,0.50,0.025,1.145057766,0.238295037,0.272861583
Ventura Park Elementary School,978,NonCharter,145 SE 117th Ave,Portland,OR,97216,David Douglas SD 40,2187,MULTNOMAH,51,-122.543837,45.52123013,376.00,2.00,0.01,47.00,0.13,14.00,0.04,71.00,0.19,91.00,0.24,114.00,0.30,37.00,0.0984,162.00,0.43,0.007,0.96534018,0.061375045,0.059247797
West Powellhurst Elementary School,979,NonCharter,2921 SE 116th Ave,Portland,OR,97266,David Douglas SD 40,2187,MULTNOMAH,51,-122.5437189,45.50081765,363.00,1.00,0.00,50.00,0.14,15.00,0.04,47.00,0.13,95.00,0.26,127.00,0.35,28.00,0.07713,142.00,0.39,0.001,0.931964056,0.013307975,0.012402554
Cornelius Elementary School,1128,NonCharter,200 N 14th Ave,Cornelius,OR,97113,Forest Grove SD 15,2241,WASHINGTON,67,-123.0541945,45.52180001,371.00,1.00,0.00,3.00,0.01,0.00,0.00,2.00,0.01,323.00,0.87,40.00,0.11,2.00,0.00539,325.00,0.88,0.105,1.170347003,0.203550619,0.238224857
Dilley Elementary School,1129,NonCharter,4115 SW Dilley Rd,Forest Grove,OR,97116,Forest Grove SD 15,2241,WASHINGTON,67,-123.1272844,45.49040655,206.00,2.00,0.01,5.00,0.02,0.00,0.00,1.00,0.00,21.00,0.10,158.00,0.77,19.00,0.09223,22.00,0.11,0.087,0.649842271,0.168251617,0.109337013
Echo Shaw Elementary School,1130,NonCharter,914 S Linden St,Cornelius,OR,97113,Forest Grove SD 15,2241,WASHINGTON,67,-123.0618842,45.51200218,377.00,3.00,0.01,0.00,0.00,1.00,0.00,0.00,0.00,356.00,0.94,14.00,0.04,3.00,0.00796,356.00,0.94,0.131,1.189274448,0.252539813,0.300339147
Fern Hill Elementary School,3986,NonCharter,4445 Heather St,Forest Grove,OR,97116,Forest Grove SD 15,2241,WASHINGTON,67,-123.0717767,45.51453933,264.00,0.00,0.00,5.00,0.02,1.00,0.00,5.00,0.02,166.00,0.63,80.00,0.30,7.00,0.02652,171.00,0.65,0.020,0.832807571,0.037866813,0.031535769
Forest Grove Community School,4595,Charter,1914 Pacific Avenue ,Forest Grove,OR,97116,Forest Grove SD 15,2241,WASHINGTON,67,-123.113275,45.51944286,201.00,1.00,0.00,0.00,0.00,2.00,0.01,1.00,0.00,35.00,0.17,142.00,0.71,20.00,0.0995,36.00,0.18,0.072,0.634069401,0.138369016,0.087735559
Harvey Clarke Elementary School,1132,NonCharter,2516 N  B  St,Forest Grove,OR,97116,Forest Grove SD 15,2241,WASHINGTON,67,-123.1161734,45.52685989,425.00,2.00,0.00,9.00,0.02,1.00,0.00,7.00,0.02,125.00,0.29,254.00,0.60,27.00,0.06353,132.00,0.31,0.100,1.340694006,0.193379367,0.259262559
Joseph Gale Elementary School,1133,NonCharter,3130 18th Ave,Forest Grove,OR,97116,Forest Grove SD 15,2241,WASHINGTON,67,-123.0927512,45.51599973,375.00,2.00,0.01,1.00,0.00,1.00,0.00,3.00,0.01,213.00,0.57,149.00,0.40,6.00,0.016,216.00,0.58,0.003,1.1829653,0.006042755,0.00714837
John Wetten Elementary School,136,NonCharter,250 E Exeter,Gladstone,OR,97027,Gladstone SD 115,1931,CLACKAMAS,5,-122.593185,45.38225343,574.00,3.00,0.01,6.00,0.01,6.00,0.01,7.00,0.01,106.00,0.18,394.00,0.69,52.00,0.09059,113.00,0.20,,,,
Deep Creek – Damascus K-8 School,90,NonCharter,14151 SE 242nd,Damascus,OR,97089,Gresham-Barlow SD 10J,2183,CLACKAMAS,5,-122.414377,45.4205957,450.00,5.00,0.01,7.00,0.02,0.00,0.00,0.00,0.00,49.00,0.11,356.00,0.79,33.00,0.07333,49.00,0.11,0.042,1.059398769,0.155236007,0.164456835
East Gresham Elementary School,933,NonCharter,900 SE 5th St,Gresham,OR,97080,Gresham-Barlow SD 10J,2183,MULTNOMAH,51,-122.4208695,45.49318728,551.00,5.00,0.01,7.00,0.01,8.00,0.01,22.00,0.04,217.00,0.39,229.00,0.42,63.00,0.11434,239.00,0.43,0.021,1.297174937,0.076583946,0.099342775
East Orient Elementary School,941,NonCharter,7431 SE 302nd Ave,Gresham,OR,97080,Gresham-Barlow SD 10J,2183,MULTNOMAH,51,-122.3529909,45.46855727,366.00,3.00,0.01,13.00,0.04,6.00,0.02,7.00,0.02,50.00,0.14,254.00,0.69,33.00,0.09016,57.00,0.16,0.027,0.861644332,0.100715019,0.086780525
Gresham Arthur Academy,4601,Charter,1890 NE Cleveland Ave,Gresham,OR,97030,Gresham-Barlow SD 10J,2183,MULTNOMAH,51,-122.4197941,45.51070251,167.00,0.00,0.00,5.00,0.03,1.00,0.01,4.00,0.02,37.00,0.22,107.00,0.64,13.00,0.07784,41.00,0.25,0.006,0.393154654,0.023621193,0.009286782
Hall Elementary School,936,NonCharter,2505 NE 23rd St,Gresham,OR,97030,Gresham-Barlow SD 10J,2183,MULTNOMAH,51,-122.4065623,45.51457411,404.00,6.00,0.01,13.00,0.03,12.00,0.03,31.00,0.08,168.00,0.42,134.00,0.33,40.00,0.09901,199.00,0.49,0.025,0.951104672,0.091551211,0.087074784
Highland Elementary School,935,NonCharter,295 NE 24th St,Gresham,OR,97030,Gresham-Barlow SD 10J,2183,MULTNOMAH,51,-122.4275729,45.51407438,418.00,2.00,0.00,13.00,0.03,3.00,0.01,22.00,0.05,218.00,0.52,124.00,0.30,36.00,0.08612,240.00,0.57,0.039,0.984063745,0.145528867,0.143209682
Hogan Cedars Elementary School,3543,NonCharter,1770 SE Fleming Ave,Gresham,OR,97080,Gresham-Barlow SD 10J,2183,MULTNOMAH,51,-122.407355,45.48472188,467.00,2.00,0.00,24.00,0.05,5.00,0.01,15.00,0.03,185.00,0.40,202.00,0.43,34.00,0.07281,200.00,0.43,0.017,1.0994205,0.061088456,0.067161901
Hollydale Elementary School,937,NonCharter,505 SW Birdsdale Ave,Gresham,OR,97080,Gresham-Barlow SD 10J,2183,MULTNOMAH,51,-122.4547203,45.49263973,460.00,8.00,0.02,18.00,0.04,7.00,0.02,28.00,0.06,158.00,0.34,197.00,0.43,44.00,0.09565,186.00,0.40,0.012,1.082940963,0.043782758,0.047414142
Kelly Creek Elementary School,1313,NonCharter,2400 SE Baker Way,Gresham,OR,97080,Gresham-Barlow SD 10J,2183,MULTNOMAH,51,-122.3848233,45.48014285,367.00,0.00,0.00,18.00,0.05,7.00,0.02,16.00,0.04,80.00,0.22,200.00,0.54,46.00,0.12534,96.00,0.26,0.012,0.863998551,0.043123421,0.037258573
