School_Name,ODE_Institution_ID,Charter,Site_Address_Line1,Site_City,Site_State,Site_Zipcode,District_Name,District_Institution_ID,County_Name,County_FIPS_Code,Longitude,Latitude,Total_Enrollment,Total_AmIndian,Percent_AmIndian,Total_Asian,Percent_Asian,Total_HawaiiPI,Percent_HawaiiPI,Total_Black,Percent_Black,Total_Latino,Percent_Latino,Total_White,Percent_White,Total_MultiRacial,Percent_MultiRacial,Total_Blk_Latino,Perc_Blk_Lat,Seg,pop_proport,Seg_proport,SCI
J Clyde Hopkins Elementary School,1191,NonCharter,21920 SW Sherwood Blvd,Sherwood,OR,97140,Sherwood SD 88J,2244,WASHINGTON,67,-122.8432191,45.36149684,469.00,0.00,0.00,13.00,0.03,4.00,0.01,0.00,0.00,86.00,0.18,333.00,0.71,33.00,0.07036,86.00,0.18,0.057,1.13559322,0.398349532,0.452363028
Middleton Elementary School,3222,NonCharter,23505 SW Old Hwy 99W,Sherwood,OR,97140,Sherwood SD 88J,2244,WASHINGTON,67,-122.8689438,45.34922685,399.00,2.00,0.01,18.00,0.05,2.00,0.01,0.00,0.00,30.00,0.08,313.00,0.78,34.00,0.08521,30.00,0.08,0.046,0.966101695,0.321396824,0.310502016
Sherwood Charter School,4220,Charter,23264 SW Main St,Sherwood,OR,97140,Sherwood SD 88J,2244,WASHINGTON,67,-122.8404964,45.35119021,214.00,0.00,0.00,7.00,0.03,0.00,0.00,8.00,0.04,16.00,0.07,166.00,0.78,17.00,0.07944,24.00,0.11,0.007,0.518159806,0.051380823,0.026623477
Alberta Rider Elementary School,4364,NonCharter,14850 SW 132nd Ter,Tigard,OR,97224,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.8111605,45.41199625,504.00,1.00,0.00,60.00,0.12,7.00,0.01,25.00,0.05,100.00,0.20,249.00,0.49,62.00,0.12302,125.00,0.25,0.013,1.076295865,0.083908208,0.090310057
Bridgeport Elementary School,1135,NonCharter,5505 SW Borland Rd,Tualatin,OR,97062,Tigard-Tualatin SD 23J,2242,CLACKAMAS,5,-122.7326107,45.37846144,471.00,0.00,0.00,12.00,0.03,17.00,0.04,3.00,0.01,212.00,0.45,195.00,0.41,32.00,0.06794,215.00,0.46,0.033,1.005824112,0.211458176,0.212689732
Charles F Tigard Elementary School,1136,NonCharter,12850 SW Grant St,Tigard,OR,97223,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.7827011,45.4269688,475.00,1.00,0.00,14.00,0.03,21.00,0.04,12.00,0.03,142.00,0.30,241.00,0.51,44.00,0.09263,154.00,0.32,0.004,1.014366142,0.027771664,0.028170636
Deer Creek Elementary School,1369,NonCharter,16155 SW 131st Ave,Tigard,OR,97224,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.8132474,45.40245585,565.00,0.00,0.00,36.00,0.06,18.00,0.03,17.00,0.03,163.00,0.29,270.00,0.48,61.00,0.10796,180.00,0.32,0.004,1.206561833,0.023648385,0.028533239
Durham Elementary School,1138,NonCharter,7980 SW Durham Rd,Tigard,OR,97224,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.7597047,45.40285909,565.00,4.00,0.01,30.00,0.05,10.00,0.02,22.00,0.04,154.00,0.27,288.00,0.51,57.00,0.10088,176.00,0.31,0.002,1.206561833,0.011839095,0.0142846
Edward Byrom Elementary School,1142,NonCharter,21800 SW 91st Ave,Tualatin,OR,97062,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.7706697,45.36256988,418.00,1.00,0.00,13.00,0.03,15.00,0.04,3.00,0.01,91.00,0.22,258.00,0.62,37.00,0.08852,94.00,0.22,0.015,0.892642205,0.098141372,0.087605131
James Templeton Elementary School,1139,NonCharter,9500 SW Murdock St,Tigard,OR,97224,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.7738446,45.41301345,514.00,1.00,0.00,7.00,0.01,23.00,0.04,11.00,0.02,170.00,0.33,248.00,0.48,54.00,0.10506,181.00,0.35,0.011,1.097650942,0.072434786,0.079508111
Mary Woodward Elementary School,1137,NonCharter,12325 SW Katherine St,Tigard,OR,97223,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.8038571,45.43378099,481.00,0.00,0.00,43.00,0.09,0.00,0.00,13.00,0.03,66.00,0.14,302.00,0.63,57.00,0.1185,79.00,0.16,0.031,1.027179189,0.199044779,0.204454655
Metzger Elementary School,1140,NonCharter,10350 SW Lincoln St,Tigard,OR,97223,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.7712521,45.44536003,518.00,1.00,0.00,13.00,0.03,17.00,0.03,9.00,0.02,178.00,0.34,263.00,0.51,37.00,0.07143,187.00,0.36,0.013,1.106192972,0.086553893,0.095745308
Multi-sensory Instruction Teaching Children Hands-On (MITCH),3579,Charter,19550 SW 90th Court,Tualatin,OR,97062,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.7704978,45.37844078,244.00,1.00,0.00,14.00,0.06,0.00,0.00,4.00,0.02,30.00,0.12,160.00,0.66,35.00,0.14344,34.00,0.14,0.018,0.521063871,0.11890564,0.061957433
Tualatin Elementary School,1143,NonCharter,20405 SW 95th Ave,Tualatin,OR,97062,Tigard-Tualatin SD 23J,2242,WASHINGTON,67,-122.776386,45.37233569,396.00,2.00,0.01,7.00,0.02,10.00,0.03,2.00,0.01,141.00,0.36,207.00,0.52,27.00,0.06818,143.00,0.36,0.010,0.845661037,0.066294001,0.056062254
Boeckman Creek Primary School,1272,NonCharter,6700 SW Wilsonville Rd,Wilsonville,OR,97070,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.7453569,45.30936733,472.00,2.00,0.00,21.00,0.04,2.00,0.00,4.00,0.01,110.00,0.23,288.00,0.61,45.00,0.09534,114.00,0.24,0.042,1.175754221,0.135321632,0.15910498
Bolton Primary School,3455,NonCharter,5933 Holmes St,West Linn,OR,97068,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.6189734,45.36990392,217.00,0.00,0.00,10.00,0.05,2.00,0.01,1.00,0.00,20.00,0.09,163.00,0.75,21.00,0.09677,21.00,0.10,0.014,0.540548021,0.044593666,0.024105018
Boones Ferry Primary School,3913,NonCharter,11495 Wilsonville Rd,Wilsonville,OR,97070,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.7950488,45.3004171,500.00,1.00,0.00,11.00,0.02,7.00,0.01,6.00,0.01,118.00,0.24,304.00,0.61,53.00,0.106,124.00,0.25,0.047,1.245502353,0.154356971,0.192251971
Cedaroak Park Primary School,45,NonCharter,4515 S Cedaroak Dr,West Linn,OR,97068,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.6335152,45.38887418,343.00,0.00,0.00,7.00,0.02,2.00,0.01,1.00,0.00,34.00,0.10,265.00,0.77,34.00,0.09913,35.00,0.10,0.020,0.854414614,0.064344266,0.054976681
Lowrie Primary School,5056,NonCharter,28995 SW Brown Rd,Wilsonville,OR,97070,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.7872521,45.31057175,478.00,0.00,0.00,18.00,0.04,1.00,0.00,6.00,0.01,131.00,0.27,267.00,0.56,55.00,0.11506,137.00,0.29,0.065,1.190700249,0.210321397,0.250429739
Stafford Primary School,47,NonCharter,19875 SW Stafford Rd,West Linn,OR,97068,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.7025338,45.37772722,351.00,0.00,0.00,10.00,0.03,0.00,0.00,0.00,0.00,10.00,0.03,309.00,0.88,22.00,0.06268,10.00,0.03,0.047,0.874342652,0.153628535,0.134323981
Sunset Primary School,48,NonCharter,2351 Oxford St,West Linn,OR,97068,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.6268639,45.36136112,367.00,0.00,0.00,15.00,0.04,0.00,0.00,4.00,0.01,42.00,0.11,253.00,0.69,53.00,0.14441,46.00,0.13,0.012,0.914198727,0.039770364,0.036358016
Trillium Creek Primary School,5057,NonCharter,1025 Rosemont Rd,West Linn,OR,97068,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.651252,45.37462669,459.00,0.00,0.00,31.00,0.07,2.00,0.00,5.00,0.01,30.00,0.07,344.00,0.75,47.00,0.1024,35.00,0.08,0.039,1.14337116,0.126353583,0.144469043
Willamette Primary School,1286,NonCharter,1403 SE 12th St,West Linn,OR,97068,West Linn-Wilsonville SD 3J,1922,CLACKAMAS,5,-122.6528697,45.34313666,426.00,1.00,0.00,7.00,0.02,0.00,0.00,5.00,0.01,41.00,0.10,329.00,0.77,43.00,0.10094,46.00,0.11,0.022,1.061168004,0.071309585,0.07567145
